   Angle       Cross sect.   Ratio
 (degrees)      (mb/sr) 
  .903E-01     .162E+14     1.00    
  .181         .102E+13     1.00    
  .271         .201E+12     1.00    
  .361         .634E+11     1.00    
  .452         .260E+11     1.00    
  .542         .125E+11     1.00    
  .632         .676E+10     1.00    
  .723         .397E+10     1.00    
  .813         .248E+10     1.00    
  .903         .162E+10     1.00    
  .994         .111E+10     1.00    
  1.08         .783E+09     1.00    
  1.17         .569E+09     1.00    
  1.26         .423E+09     1.00    
  1.35         .321E+09     1.00    
  1.45         .248E+09     1.00    
  1.54         .194E+09     1.00    
  1.63         .155E+09     1.00    
  1.72         .125E+09     1.00    
  1.81         .102E+09     1.00    
  1.90         .835E+08     1.00    
  1.99         .693E+08     1.00    
  2.08         .580E+08     1.00    
  2.17         .490E+08     1.00    
  2.26         .416E+08     1.00    
  2.35         .355E+08     1.00    
  2.44         .306E+08     1.00    
  2.53         .264E+08     1.00    
  2.62         .230E+08     1.00    
  2.71         .201E+08     1.00    
  2.80         .176E+08     1.00    
  2.89         .155E+08     1.00    
  2.98         .137E+08     1.00    
  3.07         .122E+08     1.00    
  3.16         .108E+08     1.00    
  3.25         .967E+07     1.00    
  3.34         .867E+07     1.00    
  3.43         .779E+07     1.00    
  3.52         .702E+07     1.00    
  3.61         .635E+07     1.00    
  3.70         .575E+07     1.00    
  3.79         .522E+07     1.00    
  3.88         .475E+07     1.00    
  3.97         .434E+07     1.00    
  4.06         .396E+07     1.00    
  4.16         .363E+07     1.00    
  4.25         .333E+07     1.00    
  4.34         .306E+07     1.00    
  4.43         .282E+07     1.00    
  4.52         .260E+07     1.00    
  4.61         .240E+07     1.00    
  4.70         .222E+07     1.00    
  4.79         .206E+07     1.00    
  4.88         .191E+07     1.00    
  4.97         .178E+07     1.00    
  5.06         .165E+07     1.00    
  5.15         .154E+07     1.00    
  5.24         .144E+07     1.00    
  5.33         .134E+07     1.00    
  5.42         .125E+07     1.00    
  5.51         .117E+07     1.00    
  5.60         .110E+07     1.00    
  5.69         .103E+07     1.00    
  5.78         .969E+06     1.00    
  5.87         .911E+06     1.00    
  5.96         .857E+06     1.00    
  6.05         .807E+06     1.00    
  6.14         .760E+06     1.00    
  6.23         .717E+06     1.00    
  6.32         .677E+06     1.00    
  6.41         .640E+06     1.00    
  6.50         .605E+06     1.00    
  6.59         .573E+06     1.00    
  6.69         .542E+06     1.00    
  6.78         .514E+06     1.00    
  6.87         .488E+06     1.00    
  6.96         .463E+06     1.00    
  7.05         .439E+06     1.00    
  7.14         .418E+06     1.00    
  7.23         .397E+06     1.00    
  7.32         .378E+06     1.00    
  7.41         .360E+06     1.00    
  7.50         .343E+06     1.00    
  7.59         .327E+06     1.00    
  7.68         .312E+06     1.00    
  7.77         .297E+06     1.00    
  7.86         .284E+06     1.00    
  7.95         .271E+06     1.00    
  8.04         .259E+06     1.00    
  8.13         .248E+06     1.00    
  8.22         .237E+06     1.00    
  8.31         .227E+06     1.00    
  8.40         .218E+06     1.00    
  8.49         .208E+06     1.00    
  8.58         .200E+06     1.00    
  8.67         .192E+06     1.00    
  8.76         .184E+06     1.00    
  8.85         .176E+06     1.00    
  8.95         .169E+06     1.00    
  9.04         .163E+06     1.00    
  9.13         .156E+06     1.00    
  9.22         .150E+06     1.00    
  9.31         .145E+06     1.00    
  9.40         .139E+06     1.00    
  9.49         .134E+06     1.00    
  9.58         .129E+06     1.00    
  9.67         .124E+06     1.00    
  9.76         .120E+06     1.00    
  9.85         .115E+06     1.00    
  9.94         .111E+06     1.00    
  10.0         .107E+06     1.00    
  10.1         .104E+06     1.00    
  10.2         .999E+05     1.00    
  10.3         .965E+05     1.00    
  10.4         .932E+05     1.00    
  10.5         .900E+05     1.00    
  10.6         .870E+05     1.00    
  10.7         .841E+05     1.00    
  10.8         .813E+05     1.00    
  10.8         .786E+05     1.00    
  10.9         .760E+05     1.00    
  11.0         .736E+05     1.00    
  11.1         .712E+05     1.00    
  11.2         .690E+05     1.00    
  11.3         .668E+05     1.00    
  11.4         .647E+05     1.00    
  11.5         .627E+05     1.00    
  11.6         .607E+05     1.00    
  11.7         .589E+05     1.00    
  11.8         .571E+05     1.00    
  11.8         .554E+05     1.00    
  11.9         .537E+05     1.00    
  12.0         .521E+05     1.00    
  12.1         .506E+05     1.00    
  12.2         .491E+05     1.00    
  12.3         .477E+05     1.00    
  12.4         .463E+05     1.00    
  12.5         .450E+05     1.00    
  12.6         .437E+05     1.00    
  12.7         .425E+05     1.00    
  12.7         .413E+05     1.00    
  12.8         .401E+05     1.00    
  12.9         .390E+05     1.00    
  13.0         .380E+05     1.00    
  13.1         .369E+05     1.00    
  13.2         .359E+05     1.00    
  13.3         .350E+05     1.00    
  13.4         .340E+05     1.00    
  13.5         .331E+05     1.00    
  13.6         .323E+05     1.00    
  13.7         .314E+05     1.00    
  13.7         .306E+05     1.00    
  13.8         .298E+05     1.00    
  13.9         .290E+05     1.00    
  14.0         .283E+05     1.00    
